"Scenario","Variable","Model","True_value","Mean","MSE","Bias","Bias_pct","Coverage"
"1","adj_time","C",-1,-0.976276930172405,0.00101533244113276,0.0237230698275953,-2.37230698275953,0.813
"1","adj_time","D",-1,-0.976037173525673,0.00102724459016587,0.0239628264743268,-2.39628264743268,0.815
"1","Alpha","A",-0.05,-0.0520365699648319,1.70906465357073e-05,-0.00203656996483188,4.07313992966377,0.898
"1","Alpha","B",-0.05,-0.0509671241427368,1.21872652437035e-05,-0.000967124142736829,1.93424828547366,0.938
"1","Alpha","C",-0.05,-0.0511650563404252,9.42153083756029e-06,-0.00116505634042516,2.33011268085032,0.927
"1","Alpha","D",-0.05,-0.0512642066518504,1.19214026994031e-05,-0.0012642066518504,2.52841330370079,0.938
"1","Delayed entry Hazard","A",0,-0.0254076420289425,0.000727851705762043,-0.0254076420289425,-Inf,0.001
"1","Delayed entry Hazard","B",0,-0.000320990464405964,3.72319484946652e-05,-0.000320990464405964,-Inf,0.949
"1","Delayed entry Hazard","D",0,0.000726036679199863,4.76863693373591e-05,0.000726036679199863,Inf,0.939
"1","Intercept","A",60,60.056649454235,0.0498775985876184,0.0566494542349858,0.0944157570583097,0.888
"1","Intercept","B",60,60.0413329031521,0.048984014218624,0.0413329031520604,0.0688881719201007,0.883
"1","Intercept","C",47.6427512472055,50.0132664025535,5.73821430711651,2.37051515534792,4.9756050884802,0
"1","Intercept","D",47.6427512472055,50.0113015018857,5.72936419439771,2.36855025468017,4.97148085002564,0
"1","Sub-group Rel. Hazard","A",0.405465108108164,0.430335440893556,0.00838566242930144,0.0248703327853915,6.13377878590652,0.935
"1","Sub-group Rel. Hazard","B",0.405465108108164,0.418912108257887,0.00719484429085515,0.0134470001497223,3.31643830278366,0.95
"1","Sub-group Rel. Hazard","C",0.405465108108164,0.418535648369378,0.00709035070575828,0.0130705402612137,3.22359187013619,0.948
"1","Sub-group Rel. Hazard","D",0.405465108108164,0.419400019081147,0.00729129144261195,0.0139349109729828,3.43677191805747,0.949
"1","time","A",-1,-0.964573157830331,0.00166643449476682,0.0354268421696694,-3.54268421696694,0.564
"1","time","B",-1,-0.963544953945453,0.00174074579606038,0.0364550460545469,-3.64550460545469,0.548
"2","adj_time","C",-1,-0.985564019865389,0.000629370895566081,0.0144359801346114,-1.44359801346114,0.91
"2","adj_time","D",-1,-0.988457276835643,0.000558108389124088,0.011542723164357,-1.1542723164357,0.923
"2","Alpha","A",-0.05,-0.05314473681108,1.82242256348019e-05,-0.00314473681107998,6.28947362215995,0.793
"2","Alpha","B",-0.05,-0.0509594036022841,8.94659053989178e-06,-0.000959403602284123,1.91880720456825,0.937
"2","Alpha","C",-0.05,-0.0360794867234418,0.000199492548004885,0.0139205132765582,-27.8410265531164,0.001
"2","Alpha","D",-0.05,-0.0507468724432257,8.02204898984896e-06,-0.000746872443225743,1.49374488645149,0.947
"2","Delayed entry Hazard","A",-0.05,-0.0662639337580573,0.000304139089927327,-0.0162639337580573,32.5278675161145,0.116
"2","Delayed entry Hazard","B",-0.05,-0.0512899766198558,3.4651833484989e-05,-0.0012899766198558,2.57995323971159,0.942
"2","Delayed entry Hazard","D",-0.05,-0.0511721325360052,3.69289085556667e-05,-0.00117213253600521,2.34426507201042,0.942
"2","Intercept","A",60,60.0259622739868,0.0428089164742006,0.0259622739868206,0.043270456644701,0.917
"2","Intercept","B",60,60.0149618944344,0.0427100150655475,0.0149618944344283,0.0249364907240472,0.913
"2","Intercept","C",45.6385571388249,47.6149991709379,4.13497711161598,1.97644203211296,4.33064092298306,0.02
"2","Intercept","D",45.6385571388249,47.6239910640183,4.17053818599683,1.98543392519335,4.35034332736241,0.019
"2","Sub-group Rel. Hazard","A",0.405465108108164,0.429959442149255,0.00932992810225208,0.0244943340410907,6.04104608541469,0.917
"2","Sub-group Rel. Hazard","B",0.405465108108164,0.415393601633531,0.00816894022894066,0.00992849352536651,2.44866779577934,0.937
