"Scenario","term","Model","True_value","Mean","MSE","Bias","Bias_pct"
1,"Intercept","time",60,59.9705586628751,0.0475145102737921,-0.0294413371248794,-0.0490688952081323
1,"Slope","time",-1,-0.956257517043187,0.00231976656297022,0.0437424829568132,-4.37424829568132
1,"Intercept","adjtime",47.6427512472055,50.027171962154,5.80344492459013,2.38442071494842,5.00479223497463
1,"Slope","adjtime",-1,-0.963636457984325,0.00176989662706889,0.0363635420156755,-3.63635420156755
2,"Intercept","time",60,59.9634790862418,0.0427067398776313,-0.0365209137582312,-0.060868189597052
2,"Slope","time",-1,-0.973831205685777,0.00107886429137509,0.0261687943142228,-2.61687943142228
2,"Intercept","adjtime",45.6385571388249,47.6832824157532,4.40398996492797,2.04472527692828,4.48025837168464
2,"Slope","adjtime",-1,-0.978052933146573,0.000899558388512327,0.0219470668534274,-2.19470668534274
3,"Intercept","time",60,59.8777125602033,0.0596887628953147,-0.122287439796651,-0.203812399661084
3,"Slope","time",-1.17816064114501,-1.13118998810878,0.00259793515453036,0.0469706530362335,-3.98677832172227
3,"Intercept","adjtime",43.2641357790691,45.9273255084365,7.331414664826,2.66318972936741,6.15565220802548
3,"Slope","adjtime",-1.17816064114501,-1.12878817832476,0.00287246064967792,0.0493724628202581,-4.19063929790378
4,"Intercept","time",60,60.9861779065704,1.01668262221274,0.986177906570447,1.64362984428408
4,"Slope","time",-1,-0.969747228107842,0.00128197718715323,0.0302527718921581,-3.02527718921581
4,"Intercept","adjtime",47.0947655936096,48.8328419486184,3.21870683297792,1.73807635500881,3.69059349399257
4,"Slope","adjtime",-1,-0.980335530871825,0.00079299083866551,0.0196644691281747,-1.96644691281747
5,"Intercept","time",60,44.631622693003,236.375421069109,-15.368377306997,-25.6139621783284
5,"Slope","time",NA,-1.00132795641269,NA,NA,NA
5,"Intercept","adjtime",60.9486402820125,33.6256526400474,746.766216891046,-27.3229876419651,-44.8295278049522
5,"Slope","adjtime",NA,-0.964199253317367,NA,NA,NA
